name,price,link,category,brand
guilloche rhodium roller kalem 146514,11503,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-rhodium-roller-kalem,Rollerball Pen,Graf von Faber-Castell
guilloche black tükenmez kalem 146530,9412,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-tukenmez-kalem-146530,Ballpoint Pen,Graf von Faber-Castell
macassar tükenmez kalem 145536,18998,https://www.alwaysfashion.com/tr/graf-von-faber-castell-macassar-tukenmez-kalem-145536,Ballpoint Pen,Graf von Faber-Castell
bentley ii ebony tükenmez kalem 141829,24053,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-ii-ebony-tukenmez-kalem-141829,Ballpoint Pen,Graf von Faber-Castell
bentley ii ebony roller kalem 141828,27992,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-ii-ebony-roller-kalem-141828,Rollerball Pen,Graf von Faber-Castell
tamitio dolma kalem taş gri f 141781,9202,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-dolma-kalem-tas-gri-f-141781,Fountain Pen,Graf von Faber-Castell
tamitio dolma kalem taş gri m 141780,9063,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-dolma-kalem-tas-gri-m-141780,Fountain Pen,Graf von Faber-Castell
guilloche black edition dolma kalem m 145310,17604,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-edition-dolma-kalem-m-145310,Fountain Pen,Graf von Faber-Castell
tamitio rosé roller kalem 141572,6971,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-roller-kalem-141572,Rollerball Pen,Graf von Faber-Castell
intuition black mekanik kalem 136031,12549,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-black-mekanik-kalem-136031,Other,Graf von Faber-Castell
tamitio rosé dolma kalem 141560,7843,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-dolma-kalem-141560,Fountain Pen,Graf von Faber-Castell
classic anello ivory tükenmez kalem 145690,9935,https://www.alwaysfashion.com/tr/graf-von-faber-castell-classic-anello-vory-tukenmez-kalem-145690,Ballpoint Pen,Graf von Faber-Castell
bentley le barnato dolma kalem 141861,20567,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-le-barnato-dolma-kalem-141861,Fountain Pen,Graf von Faber-Castell
magnum edition dolma kalem f 156381,44237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-edition-dolma-kalem-f-156381,Fountain Pen,Graf von Faber-Castell
magnum edition dolma kalem m 156380,44237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-edition-dolma-kalem-m-156380,Fountain Pen,Graf von Faber-Castell
pen of the year 2021 şövalyeler limited edition roller kalem 145367,159553,https://www.alwaysfashion.com/tr/graf-von-faber-castell-pen-of-the-year-2021-sovalyeler-limited-edition-roller-kalem-145367,Rollerball Pen,Graf von Faber-Castell
limited edition heritage ottilie dolma kalem 156360,50546,https://www.alwaysfashion.com/tr/graf-von-faber-castell-limited-edition-heritage-ottilie-dolma-kalem-156360,Fountain Pen,Graf von Faber-Castell
tamitio rosé tükenmez kalem 141582,6205,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-tukenmez-kalem-141582,Ballpoint Pen,Graf von Faber-Castell
tamitio taupe fineliner kalem 141576,6274,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-taupe-fineliner-kalem-141576,Other,Graf von Faber-Castell
tamitio rosé fineliner kalem 141577,6971,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-fineliner-kalem-141577,Other,Graf von Faber-Castell
classic grenadilla roller kalem 145513,17429,https://www.alwaysfashion.com/tr/graf-von-faber-castell-classic-grenadilla-roller-kalem,Rollerball Pen,Graf von Faber-Castell
guilloche black dolma kalem 146540,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-dolma-kalem-146540,Fountain Pen,Graf von Faber-Castell
intuition ribbed black roller kalem 156213,9760,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-ribbed-black-roller-kalem-156213,Rollerball Pen,Graf von Faber-Castell
guilleche ciselé anthracite roller kalem 146710,11503,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilleche-cisele-anthracite-roller-kalem-146710,Rollerball Pen,Graf von Faber-Castell
guilloche rhodium roller kalem 146514,11503,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-rhodium-roller-kalem,Rollerball Pen,Graf von Faber-Castell
guilloche black tükenmez kalem 146530,9412,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-tukenmez-kalem-146530,Ballpoint Pen,Graf von Faber-Castell
macassar tükenmez kalem 145536,18998,https://www.alwaysfashion.com/tr/graf-von-faber-castell-macassar-tukenmez-kalem-145536,Ballpoint Pen,Graf von Faber-Castell
bentley ii ebony tükenmez kalem 141829,24053,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-ii-ebony-tukenmez-kalem-141829,Ballpoint Pen,Graf von Faber-Castell
bentley ii ebony roller kalem 141828,27992,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentley-ii-ebony-roller-kalem-141828,Rollerball Pen,Graf von Faber-Castell
tamitio dolma kalem taş gri f 141781,9202,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-dolma-kalem-tas-gri-f-141781,Fountain Pen,Graf von Faber-Castell
tamitio dolma kalem taş gri m 141780,9063,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-dolma-kalem-tas-gri-m-141780,Fountain Pen,Graf von Faber-Castell
guilloche black edition dolma kalem m 145310,17604,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-edition-dolma-kalem-m-145310,Fountain Pen,Graf von Faber-Castell
tamitio rosé roller kalem 141572,6971,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-roller-kalem-141572,Rollerball Pen,Graf von Faber-Castell
intuition black mekanik kalem 136031,12549,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-black-mekanik-kalem-136031,Other,Graf von Faber-Castell
tamitio rosé dolma kalem 141560,7843,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-rose-dolma-kalem-141560,Fountain Pen,Graf von Faber-Castell
classic anello ivory tükenmez kalem 145690,9935,https://www.alwaysfashion.com/tr/graf-von-faber-castell-classic-anello-vory-tukenmez-kalem-145690,Ballpoint Pen,Graf von Faber-Castell
guilloche dolma kalem 145200,13943,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-145200,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem m 145270,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-m-145270,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem ef 145272,12723,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-ef-145272,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem b 145283,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-b-145283,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem b 145293,12723,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-b-145293,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem 145243,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-145243,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem 145240,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-145240,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem 145220,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-145220,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem 145223,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-145223,Fountain Pen,Graf von Faber-Castell
intuition platino wood ebony roller kalem 147311,17185,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-platino-wood-ebony-roller-kalem-147311,Rollerball Pen,Graf von Faber-Castell
anello grenadilla dolma kalem om 145804,18824,https://www.alwaysfashion.com/tr/graf-von-faber-castell-anello-grenadilla-dolma-kalem-om-145804,Fountain Pen,Graf von Faber-Castell
guilloche tükenmez kalem 145216,8017,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-tukenmez-kalem-145216,Ballpoint Pen,Graf von Faber-Castell
guilloche tükenmez kalem 145217,8017,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-tukenmez-kalem-145217,Ballpoint Pen,Graf von Faber-Castell
guilloche tükenmez kalem 145215,8540,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-tukenmez-kalem-145215,Ballpoint Pen,Graf von Faber-Castell
intuition platino wood grenadilla mekanik kalem 137231,13769,https://www.alwaysfashion.com/tr/graf-von-faber-castell-intuition-platino-wood-grenadilla-mekanik-kalem-137231,Other,Graf von Faber-Castell
kalemlik 118875,5577,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kalemlik-118875,Other,Graf von Faber-Castell
kalemlik 118877,4880,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kalemlik-118877,Other,Graf von Faber-Castell
çiftli deri kalem kılıfı zeytin yeşili 118881,5577,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ciftli-deri-kilif-zeytin-yesili-118881,Other,Graf von Faber-Castell
bayan cüzdanı 118878,9516,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bayan-cuzdani-118878,Other,Graf von Faber-Castell
deri seyahat çantası 118682,64595,https://www.alwaysfashion.com/tr/graf-von-faber-castell-deri-seyahat-cantasi-118682,Other,Graf von Faber-Castell
guilloche ciselé light grey dolma kalem 146520,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-cisele-light-grey-dolma-kalem-146520,Fountain Pen,Graf von Faber-Castell
guilloche black roller kalem 146510,10806,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-black-roller-kalem-146510,Rollerball Pen,Graf von Faber-Castell
tamitio black roller kalem 141570,7843,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-roller-kalem-141570,Rollerball Pen,Graf von Faber-Castell
tamitio taupe roller kalem 141571,7320,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-taupe-roller-kalem-141571,Rollerball Pen,Graf von Faber-Castell
tamitio siyah mekanik kalem 131580,6449,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-siyah-mekanik-kalem-131580,Other,Graf von Faber-Castell
tamitio black tükenmez kalem 141580,8017,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-tukenmez-kalem-141580,Ballpoint Pen,Graf von Faber-Castell
masa aksesuar seti 118575,50546,https://www.alwaysfashion.com/tr/graf-von-faber-castell-masa-aksesuar-seti-118575,Other,Graf von Faber-Castell
tamitio gece mavisi tükenmez kalem 141583,6449,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-gece-mavisi-tukenmez-kalem-141583,Ballpoint Pen,Graf von Faber-Castell
guilloche dolma kalem m 145280,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-m-145280,Fountain Pen,Graf von Faber-Castell
tamitio black edition m dolma kalem 141760,10806,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-edition-m-dolma-kalem-141760,Fountain Pen,Graf von Faber-Castell
tamitio roller kalem taş gri 141598,9237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-roller-kalem-tas-gri-141598,Rollerball Pen,Graf von Faber-Castell
cüzdan 118955,12026,https://www.alwaysfashion.com/tr/graf-von-faber-castell-cuzdan-118955,Other,Graf von Faber-Castell
cüzdan 118952,12026,https://www.alwaysfashion.com/tr/graf-von-faber-castell-cuzdan-118952,Other,Graf von Faber-Castell
limited edition bentley centenary dolma kalem ef 141812,20567,https://www.alwaysfashion.com/tr/graf-von-faber-castell-limited-edition-bentley-centenary-dolma-kalem-ef-141812,Fountain Pen,Graf von Faber-Castell
anello grenadilla dolma kalem m 145800,20218,https://www.alwaysfashion.com/tr/graf-von-faber-castell-anello-grenadilla-dolma-kalem-m-145800,Fountain Pen,Graf von Faber-Castell
anello grenadilla roller kalem 145810,18127,https://www.alwaysfashion.com/tr/graf-von-faber-castell-anello-grenadilla-roller-kalem-145810,Rollerball Pen,Graf von Faber-Castell
bentley dolma kalem m 141740,15512,https://www.alwaysfashion.com/tr/graf-von-faber-castell-bentyley-dolma-kalem-m-141740,Fountain Pen,Graf von Faber-Castell
anello grenadilla tükenmez kalem 145811,17081,https://www.alwaysfashion.com/tr/graf-von-faber-castell-anello-grenadilla-tukenmez-kalem-145811,Ballpoint Pen,Graf von Faber-Castell
guilloche dolma kalem m 145290,14815,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-m-145290,Fountain Pen,Graf von Faber-Castell
guilloche dolma kalem ef 145282,12723,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-dolma-kalem-ef-145282,Fountain Pen,Graf von Faber-Castell
anello grenadilla versatil kalem 135811,17081,https://www.alwaysfashion.com/tr/graf-von-faber-castell-anello-grenadilla-versatil-kalem-135811,Other,Graf von Faber-Castell
tamitio black edition b dolma kalem 141763,10806,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-edition-b-dolma-kalem-141763,Fountain Pen,Graf von Faber-Castell
tamitio black edition f dolma kalem 141761,9063,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-edition-f-dolma-kalem-141761,Fountain Pen,Graf von Faber-Castell
tamitio black edition roller kalem 141594,9237,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-edition-tukenmez-kalem-141594,Rollerball Pen,Graf von Faber-Castell
guilloche tükenmez kalem 145265,8017,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-tukenmez-kalem-145265,Ballpoint Pen,Graf von Faber-Castell
tamitio black edition versatil kalem 131585,8540,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tamitio-black-edition-versatil-kalem-131585,Other,Graf von Faber-Castell
guilloche 3'lü kurşun kalem siyah 118622,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-3lu-kursun-kalem-siyah-118622,Other,Graf von Faber-Castell
guilloche 3'lü kurşun kalem kahverengi 118623,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-3lu-kursun-kalem-kahverengi-118623,Other,Graf von Faber-Castell
guilloche 3'lü kurşun kalem yılan yeşili 118629,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-3lu-kursun-kalem-yilan-yesili-118629,Other,Graf von Faber-Castell
a5 defter kırmızı 188677,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-defter-kirmizi-188677,Other,Graf von Faber-Castell
a5 defter mavi 188676,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-defter-mavi-188676,Other,Graf von Faber-Castell
a5 defter yeşil 188674,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-defter-yesil-188674,Other,Graf von Faber-Castell
a5 defter pembe 188669,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-defter-pembe-188669,Other,Graf von Faber-Castell
a5 defter turkuaz 188667,1010,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-defter-turkuaz-188667,Other,Graf von Faber-Castell
a5 keten defter mavi 188636,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-keten-defter-mavi-188636,Other,Graf von Faber-Castell
a5 keten defter turuncu 188629,1084,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-keten-defter-turuncu-188629,Other,Graf von Faber-Castell
a5 keten defter krem 188623,1010,https://www.alwaysfashion.com/tr/graf-von-faber-castell-a5-keten-defter-krem-188623,Other,Graf von Faber-Castell
platin kaplı küçük kalemtraş 188513,5054,https://www.alwaysfashion.com/tr/graf-von-faber-castell-platin-kapli-kucuk-kalemtras-188513,Other,Graf von Faber-Castell
piston 148685,522,https://www.alwaysfashion.com/tr/graf-von-faber-castell-piston-148685,Other,Graf von Faber-Castell
kartuş zeytin yeşili - 20 adet 141145,523,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-zeytin-yesili-20-adet-141145,Other,Graf von Faber-Castell
kartuş pembe - 20 adet 141144,635,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-pembe-20-adet-141144,Other,Graf von Faber-Castell
kartuş deniz yeşili - 20 adet 141138,490,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-deniz-yesili-20-adet-141138,Other,Graf von Faber-Castell
kartuş violet - 20 adet 141136,635,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-violet-20-adet-141136,Other,Graf von Faber-Castell
kartuş nar kırmızı - 20 adet 141135,523,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-nar-kirmizi-20-adet-141135,Other,Graf von Faber-Castell
kartuş taş gri - 20 adet 141133,490,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-tas-gri-20-adet-141133,Other,Graf von Faber-Castell
kartuş fındık kahve - 20 adet 141132,490,https://www.alwaysfashion.com/tr/graf-von-faber-castell-kartus-findik-kahve-20-adet-141132,Other,Graf von Faber-Castell
mürekkep hint kırmızısı 141019,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-hint-kirmizisi-141019,Other,Graf von Faber-Castell
mürekkep yılan yeşili 141017,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-yilan-yesili-141017,Other,Graf von Faber-Castell
mürekkep zeytin yeşili 141015,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-zeytin-yesili-141015,Other,Graf von Faber-Castell
mürekkep pembe 141014,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-pembe-141014,Other,Graf von Faber-Castell
mürekkep yanık turuncu 141011,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-yanik-turuncu-141011,Other,Graf von Faber-Castell
mürekkep turquaz 141010,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-turquaz-141010,Other,Graf von Faber-Castell
mürekkep deniz yeşili 141008,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-deniz-yesili-141008,Other,Graf von Faber-Castell
mürekkep gece mavisi 141007,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-gece-mavisi-141007,Other,Graf von Faber-Castell
mürekkep violet mavi 141006,1196,https://www.alwaysfashion.com/tr/graf-von-faber-castell-murekkep-violet-mavi-141006,Other,Graf von Faber-Castell
tekli deri kalem kılıfı zeytin yeşili 118890,5228,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tekli-deri-kilif-zeytin-yesili-118890,Other,Graf von Faber-Castell
i̇deal kurşun kalem gri 5'li yedek 118640,1635,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kursun-kalem-gri-5li-yedek-118640,Other,Graf von Faber-Castell
i̇deal kurşun kalem siyah 3 adet 118638,522,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kursun-kalem-siyah-3-adet-118638,Other,Graf von Faber-Castell
i̇deal kurşun kalem kahverengi 3 adet 118637,522,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kursun-kalem-kahverengi-3-adet-118637,Other,Graf von Faber-Castell
guilloche hint kırmızısı 3'lü kurşun kalem 118632,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-hint-kirmizisi-3lu-kursun-kalem-118632,Other,Graf von Faber-Castell
guilloche pembe 3'lü kurşun kalem 118626,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-pembe-3lu-kursun-kalem-118626,Other,Graf von Faber-Castell
guilloche turuncu 3'lü kurşun kalem 118625,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-turuncu-3lu-kursun-kalem-118625,Other,Graf von Faber-Castell
tükenmez kalem refili f siyah 148744,104,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tukenmez-kalem-refili-f-siyah-148744,Ballpoint Pen,Graf von Faber-Castell
tükenmez kalem refili b mavi 148743,104,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tukenmez-kalem-refili-b-mavi-148743,Ballpoint Pen,Graf von Faber-Castell
tükenmez kalem refili b siyah 148742,104,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tukenmez-kalem-refili-b-siyah-148742,Ballpoint Pen,Graf von Faber-Castell
tükenmez kalem refili m mavi 148741,104,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tukenmez-kalem-refili-m-mavi-148741,Ballpoint Pen,Graf von Faber-Castell
tükenmez kalem refili m siyah 148740,104,https://www.alwaysfashion.com/tr/graf-von-faber-castell-tukenmez-kalem-refili-m-siyah-148740,Ballpoint Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı yozakura 141120,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-yozakura-141120,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı hint kırmızısı 141119,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-hint-kirmizisi-141119,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı körfez mavisi 141118,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-korfez-mavisi-141118,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı yılan yeşili 141117,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-yilan-yesili-141117,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı konyak 141116,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-konyak-141116,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı zeytin yeşili 141115,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-zeytin-yesili-141115,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı pembe 141114,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-pembe-141114,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı yanık turuncu 141111,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-yanik-turuncu-141111,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı turkuaz 141110,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-turkuaz-141110,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı royal mavi 141109,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-royal-mavi-141109,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı deniz yeşili 141108,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-deniz-yesili-141108,Fountain Pen,Graf von Faber-Castell
dolma kalem kartuşu 6'lı menekşe moru 141106,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-dolma-kalem-kartusu-6li-menekse-moru-141106,Fountain Pen,Graf von Faber-Castell
roller kalem refili mavi 148731,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-roller-kalem-refili-mavi-148731,Rollerball Pen,Graf von Faber-Castell
roller kalem refili siyah 148730,209,https://www.alwaysfashion.com/tr/graf-von-faber-castell-roller-kalem-refili-siyah-148730,Rollerball Pen,Graf von Faber-Castell
fineliner kalem refili mavi 148736,278,https://www.alwaysfashion.com/tr/graf-von-faber-castell-fineliner-kalem-refili-mavi-148736,Other,Graf von Faber-Castell
fineliner kalem refili siyah 148735,278,https://www.alwaysfashion.com/tr/graf-von-faber-castell-fineliner-kalem-refili-siyah-148735,Other,Graf von Faber-Castell
magnum roller kalem refili mavi 148733,278,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-roller-kalem-refili-mavi-148733,Rollerball Pen,Graf von Faber-Castell
magnum roller kalem refili siyah 148732,278,https://www.alwaysfashion.com/tr/graf-von-faber-castell-magnum-roller-kalem-refili-siyah-148732,Rollerball Pen,Graf von Faber-Castell
20'li dolma kalem kartuşu yanık turuncu 141141,490,https://www.alwaysfashion.com/tr/graf-von-faber-castell-20li-dolma-kalem-kartusu-yanik-turuncu-141141,Fountain Pen,Graf von Faber-Castell
guilloche 3'lü kurşun kalem yozakura 118633,644,https://www.alwaysfashion.com/tr/graf-von-faber-castell-guilloche-3lu-kursun-kalem-yozakura-118633,Other,Graf von Faber-Castell
i̇deal kalem yedeği 3'lü hint kırmızısı 118669,732,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kalem-yedegi-3lu-hint-kirmizisi-118669,Other,Graf von Faber-Castell
i̇deal kalem yedeği 3'lü körfez mavisi 118668,784,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kalem-yedegi-3lu-korfez-mavisi-118668,Other,Graf von Faber-Castell
i̇deal kalem yedeği 3'lü yılan yeşili 118666,784,https://www.alwaysfashion.com/tr/graf-von-faber-castell-ideal-kalem-yedegi-3lu-yilan-yesili-118666,Other,Graf von Faber-Castell
